,Announced Size
1266,1000kt MeOH/y production
1267,100 MW
1268,4MW
1269,400MW
1270,500MW
1271,60MW
1272,240MW
1273,55t H2/d capacity
1274,35-50MW
1275,500MW
1276,700MW - 2 Mt DRI
1277,50MW
1278,10 kt Synthetic kerosene/y production
1279,80 kt Synthetic kerosene/y production
1280,
1281,400 kg H2/d
1282,1t H2/d
1283,20 t H2/y production
1284,200 kt H2/y production
1285,100 kt NH3/y production
1286,1.1 Mt NH3/y production
1287,100 MW
1288, 60MW or 9kt H2/y
1289,300MW or 40kt H2/y
1290,60 kt e- CH4/y
1291,5MW
1292,100MW
1293,10MW - 4.6 million litres synthetic kerosene per year
1294,2GW
1295,3 Mt H2/y
1296,43 Mt H2/y capacity
1297,43 Mt H2/y capacity
1298,"1MW electrolyzer, 13000MWh CH4/y"
1299,
1300,
1301,
1302,
1303,
1304,
1305,300MW
1306,1GW
1307,
1308,
1309,
1310,1.3GW
1311,
1312,15 kt H2/y production
1313,
1314,10 MW
1315,100 MW
1316,100kt H2/y capacity
1317,35MW
1318,
1319,
1320,
1321,1.5GW - 3300 t NH3/d
1322,3MW
1323,400-1000MW
1324,
1325,1MW
1326,100MW
1327,
1328,20MW
1329,1t H2/d
1330,
1331,4.5MW
1332,
1333,5MW
1334,440 MW
1335,60MWel
1336,60MW
1337,702MW
1338,1Mt H2/y production
1339,
1340,
1341,500MW
1342,91kt H2/y production
1343,500MW
1344,1700MW
1345,3GW
1346,70MW
1347,255MW
1348,30MW
1349,12.5MW
1350,173kt NH3/y production
1351,2000t H2/y production
1352,1.8GW
1353,250MW
1354,7.6MW
1355,600MW
1356,1MW
1357,
1358,20MW
1359,50kt MeOH/y production
1360,"1.5 GW - 300 kt H2/y, 800 kt NH3/y"
1361,
1362,1.5GW
1363,1.4Mt NH3/y - 2 MT CO2
1364,480kt H2/y production
1365,8kt synfuels/y production
1366,800kt synfuels/y production
1367,50kt H2/y
1368,200kt H2/y
1369,400 kt H2/y production
1370,1Mt H2/y production
1371,100 kt NH3/y
1372,1 Mt NH3/y
1373,67 kt H2/y
1374,
1375,20-40 MW
1376,40 MW
1377,20-40 MW
1378,40 MW
1379,1000 MW
1380,Total 300000 t H2/y production
1381,390kt NH3/y production
1382,72 kt NH3/y - 12.9 kt H2/y production
1383,500 kt NH3/y production
1384,450 t NH3/d production
1385,20 MW
1386,300MW
1387,35MW
1388,350MW
1389,1.5GW - 3300 t NH3/d
1390,1MW
1391,1-1.4 Mt NH3/y
1392,3.2MW
1393,1MW
1394,156 t/y
1395,0.348mw
1396,4 kg H2/d
1397,2.5MW
1398,"5MW, 2t H2/d"
1399,7000 Nm3/h
1400,225 kg H2/d
1401,1MW
1402,50MW
1403,2x2MW
1404,5MW
1405,700 t H2/y
1406,
1407,20 kt H2/y - 0.11Mt CO2/y
1408,1.3GW
1409,150 kt H2/y production
1410,150 kt H2/y production
1411,6.5 t H2/d
1412,10 t H2/d
1413,15 t H2/d production
1414,36000 t H2/y
1415,21600 t H2/y
1416,24200 t H2/y
1417,18600 t H2/y
1418,5445 t H2/y
1419,20827 t H2/y
1420,15460 t H2/y
1421,28000 t H2/y
1422,25700 t H2/y
1423,200MW
1424,6.5 kW
1425,1.6 MW
1426,720 t H2/y
1427,100MW
1428,2 x 5MW
1429,1MW
1430,240 - 2300 t H2/year
1431,15 kg H2/hour
1432,18.6 MW
1433,50kW
1434,4MW
1435,
1436,
1437,
1438,1-1.5 kt NH3/day capacity
1439,1 MW
1440,3.2 GW
1441,2.4 GW
1442,
1443,1.8 Mtpa NH3 production
1444,
