Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
1240,USA,2000,Operational,PEM,Other/Unknown,,H2,3.75,721,0.6,,721
1241,USA,2000,Operational,PEM,Other/Unknown,,H2,0.5,96,0.1,,96
1242,USA,2022,FID/Construction,PEM,Other/Unknown,,H2,0.5,96,0.1,,96
1243,USA,2000,Operational,PEM,Other/Unknown,,H2,3.24,623,0.5,,623
1244,USA,2022,FID/Construction,PEM,Other/Unknown,,H2,0.72,138,0.1,,138
1245,USA,2000,Operational,PEM,Other/Unknown,,H2,1.44,277,0.2,,277
1246,USA,2022,FID/Construction,PEM,Other/Unknown,,H2,0.24,46,0,,46
1248,ESP,2026,Feasibility study,PEM,Dedicated renewable,Onshore wind,MeOH,5,962,0.7,,962
1258,AUS,2023,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,0.7,135,0.1,,135
1261,AUS,,Feasibility study,PEM,Grid,,H2,10,1923,1.5,,1923
1265,POL,2024,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,2.5,481,0.4,,481
1266,POL,2030,Feasibility study,PEM,Dedicated renewable,Others/Various,H2,45,8654,6.7,,8654
1269,DEU,2026,FID/Construction,PEM,Dedicated renewable,Offshore wind,H2,14,2692,2.1,,2692
1273,DEU,2023,FID/Construction,PEM,Dedicated renewable,Unknown,H2,20,3846,3,,3846
1274,DEU,2024,FID/Construction,PEM,Dedicated renewable,Unknown,H2,10,1923,1.5,,1923
1276,CHL,2025,Feasibility study,ALK,Grid,,H2,10,2174,1.7,,2174
1282,CHL,2021,Operational,PEM,Dedicated renewable,Solar PV,H2,0.004868914,1,0,,1
1287,USA,,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,405.74,78027,60.8,,78027
1288,NOR,2023,Operational,ALK,Dedicated renewable,Unknown,H2,0.9,196,0.2,,196
1291,USA,,Concept,NG w CCUS,,,H2,,,,,0
1292,GBR,2024,Feasibility study,PEM,Dedicated renewable,Unknown,H2,30,5769,4.5,,5769
1293,USA,2028,Feasibility study,NG w CCUS,,,H2,,397619,310,,0
1294,GBR,2023,FID/Construction,ALK,Dedicated renewable,Unknown,H2,0.9,196,0.2,,196
1295,PRT,2024,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,4.3,827,0.6,,827
1296,USA,,FID/Construction,ALK,Other/unknown,,H2,85,18478,14.4,,18478
1297,ESP,2025,Feasibility study,Biomass,,,H2,,2052,1.6,,2052
1301,PRT,2023,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,0.300138525,58,0,,58
1302,PRT,,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,0.933764301,180,0.1,,180
1303,PRT,,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,0.933764301,180,0.1,,180
1304,PRT,2026,Feasibility study,PEM,Dedicated renewable,Solar PV,Various,91,17500,13.6,,17500
1305,MAR,2026,Feasibility study,PEM,Dedicated renewable,Solar PV,Ammonia,689.2069844,132540,103.3,,132540
1311,JPN,2021,Operational,Biomass,,,H2,,21,0,,21
1314,NOR,2022,Operational,ALK,Dedicated renewable,Unknown,H2,5.5,1196,0.9,,1196
1315,DNK,2025,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,1000,192308,149.9,,192308
1318,CAN,2027,Concept,NG w CCUS,,,Various,,230968,180.1,,0
1319,GBR,2028,Feasibility study,NG w CCUS,,,H2,,,,550000,68957
1323,NLD,2024,Feasibility study,Oil w CCUS,,,H2,,1282643,1000,1000000,59845
1326,FRA,2030,Concept,NG w CCUS,,,H2,,119382,93.1,650000,81495
1332,DEU,2021,Operational,PEM,Dedicated renewable,Others/Various,Synfuels,1.3,250,0.2,,250
1336,DEU,2025,Feasibility study,ALK,Dedicated renewable,Others/Various,MeOH,29.50079524,6413,5,,6413
1337,DEU,2025,Feasibility study,SOEC,Dedicated renewable,Others/Various,MeOH,3,789,0.6,,789
1340,AUS,2027,Feasibility study,NG w CCUS,,,Various,,,84,,0
1341,GBR,2027,Feasibility study,NG w CCUS,,,H2,,576404,449.4,,0
1344,USA,2026,Feasibility study,NG w CCUS,,,Various,,884900,689.9,5000000,626882
1357,KOR,2026,Feasibility study,NG w CCUS,,,H2,,,,400000,50151
1358,CAN,,Concept,NG w CCUS,,,Ammonia,,,165,,0
1359,FRA,2030,Feasibility study,NG w CCUS,,,H2,,,,1850000,231946
